scenario_id,stress_intensity,scenario_severity,gdp_shock_pp,unemp_shock_pp,rate_shock_pp,credit_spread_bps,inflation_shock_pp,fx_devaluation_pct
SCN_0025,0.903,severe,-10.99,9.31,4.38,458.5,18.33,33.94
SCN_0026,0.535,adverse,-6.72,5.14,0.79,259.9,10.31,10.06
SCN_0027,0.311,moderate,-3.96,3.3,2.96,181.9,7.77,15.67
SCN_0028,0.83,severe,-9.46,8.5,4.89,414.5,13.36,31.83
SCN_0029,0.543,adverse,-6.35,6.17,2.48,214.4,7.36,18.2
SCN_0030,0.362,moderate,-4.28,4.24,-0.76,187.5,3.13,9.3
SCN_0031,0.612,adverse,-7.67,6.35,-0.26,343.4,10.69,20.52
SCN_0032,0.936,severe,-12.08,9.95,-1.54,464.0,12.81,29.86
SCN_0033,0.569,adverse,-6.67,6.01,2.1,294.5,7.48,31.05
SCN_0034,0.864,severe,-9.61,9.33,-1.15,476.7,15.45,35.1
SCN_0035,0.378,moderate,-4.67,3.68,-0.3,217.2,6.13,8.68
SCN_0036,0.435,moderate,-4.66,4.67,-0.39,212.0,4.2,10.88
SCN_0037,0.498,moderate,-5.83,4.93,0.97,189.7,4.35,23.02
SCN_0038,0.422,moderate,-4.84,3.52,-0.1,208.0,7.05,26.39
SCN_0039,0.469,moderate,-5.81,4.39,-0.95,244.7,6.77,14.44
SCN_0040,0.428,moderate,-5.21,5.43,1.83,249.8,7.32,19.8
SCN_0041,0.961,severe,-12.04,9.84,4.37,481.1,11.19,26.82
SCN_0042,0.215,mild,-3.65,2.21,-0.19,107.5,0.0,6.59
SCN_0043,0.273,moderate,-2.01,2.0,-0.38,170.4,5.21,12.36
SCN_0044,0.883,severe,-10.4,9.22,-0.55,459.0,9.81,32.54
SCN_0045,0.273,moderate,-3.65,2.72,1.18,115.3,3.22,4.05
SCN_0046,0.782,severe,-10.08,8.18,1.34,379.8,10.17,34.0
SCN_0047,0.176,mild,-2.24,2.01,-0.03,87.3,7.64,6.83
SCN_0048,0.131,mild,-1.24,1.76,0.37,31.8,2.49,1.01
SCN_0049,0.498,moderate,-6.16,4.01,3.89,194.0,6.88,16.49
SCN_0050,0.791,severe,-8.85,8.51,-1.6,353.0,13.41,30.48
SCN_0051,0.568,adverse,-6.23,5.1,-0.79,264.9,10.4,11.45
SCN_0052,0.995,severe,-11.03,9.82,0.51,502.2,14.66,41.64
SCN_0053,0.939,severe,-12.33,8.99,0.35,477.3,10.16,29.24
SCN_0054,0.949,severe,-11.61,8.8,3.33,460.1,16.17,37.27
SCN_0055,0.265,moderate,-3.41,2.72,1.66,109.4,1.62,6.09
SCN_0056,0.965,severe,-11.48,10.01,1.42,482.8,13.92,35.47
SCN_0057,0.378,moderate,-5.41,3.15,-1.11,209.7,0.14,14.97
SCN_0058,0.208,mild,-2.59,2.36,,101.6,0.0,0.0
SCN_0059,0.189,mild,-2.86,1.66,0.79,66.2,2.4,2.96
SCN_0060,0.983,severe,-11.52,9.99,5.32,523.0,12.08,34.13
SCN_0061,0.098,mild,-0.41,0.27,-0.19,76.1,2.74,4.4
SCN_0062,0.908,severe,-11.12,9.22,0.18,453.0,13.81,28.38
SCN_0063,0.402,moderate,-3.08,3.13,0.69,185.8,7.47,14.3
SCN_0064,0.783,severe,-8.69,7.93,4.08,344.6,15.72,29.28
SCN_0065,0.867,severe,-11.14,8.26,3.7,433.4,13.72,35.78
SCN_0066,0.728,adverse,-8.16,7.29,1.8,334.8,12.18,13.42
SCN_0067,0.118,mild,-2.31,1.21,0.78,82.3,1.32,0.65
SCN_0068,0.913,severe,-10.19,9.4,3.22,451.8,9.78,33.9
SCN_0069,0.961,severe,-11.08,9.67,,458.3,14.15,42.61
SCN_0070,0.987,severe,-12.26,9.98,4.96,499.0,13.05,34.09
SCN_0071,0.98,severe,-11.68,10.02,4.1,457.7,17.17,36.12
SCN_0072,0.83,severe,-10.12,7.55,3.25,404.0,15.51,25.84
SCN_0073,0.348,moderate,-4.5,3.61,0.64,191.6,3.89,4.33
SCN_0074,0.867,severe,-10.72,8.04,2.04,424.0,18.94,21.64
SCN_0075,0.027,baseline,-1.0,0.03,0.98,0.0,1.0,10.47
SCN_0076,0.45,moderate,-5.24,5.01,3.14,213.1,1.05,18.94
SCN_0077,0.141,mild,-2.3,1.47,2.14,59.9,3.63,0.0
SCN_0078,0.09,mild,-1.92,0.57,2.15,67.5,1.59,0.0
SCN_0079,0.58,adverse,-6.92,5.82,3.57,289.5,8.17,13.1
SCN_0080,0.447,moderate,-4.82,3.79,-0.39,207.3,6.99,13.72
SCN_0081,0.246,mild,-2.65,1.81,1.65,107.7,2.25,10.19
SCN_0082,0.308,moderate,-3.16,2.69,2.72,140.7,3.2,16.26
SCN_0083,0.554,adverse,-5.63,6.68,2.06,278.6,5.37,15.51
SCN_0084,0.683,adverse,-8.83,6.3,0.99,317.0,12.34,19.3
SCN_0085,0.743,adverse,-9.19,7.47,1.46,405.6,13.94,27.49
SCN_0086,0.492,moderate,-5.78,4.36,2.51,262.1,7.62,5.03
SCN_0087,0.922,severe,-10.65,9.82,5.39,429.0,14.58,37.34
SCN_0088,0.095,mild,-1.15,1.09,1.52,10.6,0.61,1.7
SCN_0089,0.154,mild,-2.19,1.32,1.23,86.0,1.55,3.35
SCN_0090,0.76,severe,-10.27,7.83,1.66,380.6,13.8,16.82
SCN_0091,0.224,mild,-2.52,2.24,0.05,102.7,5.02,12.5
SCN_0092,0.527,adverse,-6.48,4.21,3.65,287.8,9.51,14.04
SCN_0093,0.303,moderate,-3.12,3.81,3.01,147.1,6.42,10.9
SCN_0094,0.321,moderate,-3.6,3.5,1.07,164.8,4.17,18.62
SCN_0095,0.334,moderate,-4.35,3.34,-0.26,136.8,1.73,1.49
SCN_0096,0.759,severe,-9.78,7.4,0.44,366.8,11.97,25.08
SCN_0097,0.065,mild,-0.49,0.3,-0.63,53.3,1.96,0.0
SCN_0098,0.445,moderate,-5.99,5.15,2.7,228.1,7.06,14.52
SCN_0099,0.904,severe,-11.07,9.16,-0.35,440.7,12.02,25.66
SCN_0100,0.953,severe,-12.53,9.9,1.76,505.1,10.23,36.98
SCN_0101,0.352,moderate,-4.5,3.57,0.83,181.4,2.62,13.33
SCN_0102,0.811,severe,-9.4,8.62,1.56,382.5,6.77,27.04
SCN_0103,0.224,mild,-3.61,2.46,-0.27,90.3,1.97,13.18
SCN_0104,0.93,severe,-11.23,9.61,5.34,465.4,14.31,30.19
SCN_0105,0.906,severe,-11.34,9.31,-1.28,394.6,16.56,16.47
SCN_0106,0.417,moderate,-4.39,4.01,2.32,186.8,8.83,5.0
SCN_0107,0.472,moderate,-5.7,4.13,3.63,215.9,9.25,20.2
SCN_0108,0.22,mild,-2.88,1.76,1.76,82.8,7.3,7.52
SCN_0109,0.852,severe,-10.63,8.12,4.85,427.8,9.71,18.91
SCN_0110,0.151,mild,-2.89,1.13,0.29,57.9,7.26,5.55
SCN_0111,0.285,moderate,-4.49,2.52,1.08,122.1,6.55,3.97
SCN_0112,0.651,adverse,-8.16,6.59,1.45,320.0,9.17,19.11
SCN_0113,0.047,baseline,-0.43,0.43,0.51,39.6,0.12,0.12
SCN_0114,0.032,baseline,0.63,-0.35,1.04,0.0,1.02,9.0
SCN_0115,0.457,moderate,-5.38,4.29,0.63,223.2,4.88,14.53
SCN_0116,0.515,adverse,-6.64,4.75,-0.79,265.4,9.09,19.19
SCN_0117,0.601,adverse,-7.16,6.21,3.1,298.9,7.69,32.12
SCN_0118,0.042,baseline,-0.91,0.64,-0.27,0.0,3.44,1.01
SCN_0119,0.453,moderate,-4.72,4.84,1.13,261.8,8.43,15.79
SCN_0120,0.945,severe,-11.25,9.44,-1.23,484.3,15.37,33.16
SCN_0121,0.971,severe,-11.58,9.68,4.78,456.1,15.98,20.98
SCN_0122,0.39,moderate,-4.97,4.55,-0.29,208.1,4.86,14.21
SCN_0123,0.2,mild,-2.68,2.5,1.5,106.0,5.31,10.31
SCN_0124,0.717,adverse,-9.06,6.48,3.87,371.6,12.0,25.6
SCN_0125,0.343,moderate,-3.65,2.81,-0.54,228.5,6.06,14.91
SCN_0126,0.937,severe,-12.33,9.07,3.54,439.5,18.36,34.16
SCN_0127,0.519,adverse,-6.42,5.11,1.93,258.9,9.11,17.19
SCN_0128,0.04,baseline,-1.32,-0.59,0.06,20.9,0.0,1.21
SCN_0129,0.385,moderate,-5.92,3.39,-0.73,200.3,2.89,14.27
SCN_0130,0.991,severe,-11.42,9.86,2.24,482.8,16.03,35.65
SCN_0131,0.844,severe,-10.05,8.85,,437.8,14.84,25.53
SCN_0132,0.094,mild,-0.21,1.07,-0.46,32.9,3.34,1.9
SCN_0133,0.799,severe,-8.75,7.47,-1.05,403.8,12.96,30.45
SCN_0134,0.448,moderate,-5.26,4.73,0.86,225.4,6.99,16.76
SCN_0135,0.426,moderate,-4.78,4.28,0.8,214.3,6.32,15.87
SCN_0136,0.352,moderate,-4.54,3.73,2.51,177.9,11.12,10.43
SCN_0137,0.968,severe,-12.09,9.5,2.16,500.7,15.31,40.16
SCN_0138,0.263,moderate,-3.36,3.99,1.22,117.3,2.22,4.51
SCN_0139,0.816,severe,-10.01,8.22,0.06,422.6,10.12,23.18
SCN_0140,0.895,severe,-10.38,9.11,2.5,460.9,11.56,28.71
SCN_0141,0.104,mild,-0.47,1.36,2.01,77.0,8.59,0.0
SCN_0142,0.947,severe,-11.74,9.05,1.56,467.8,11.17,34.84
SCN_0143,0.253,moderate,-2.75,2.79,-0.81,119.2,9.1,10.04
SCN_0144,0.094,mild,-1.73,0.07,1.83,44.6,0.24,13.35
SCN_0145,0.537,adverse,-6.01,4.91,0.64,269.3,8.49,9.52
SCN_0146,0.262,moderate,-3.13,2.51,0.37,120.2,3.49,9.62
SCN_0147,0.588,adverse,-6.4,5.73,3.75,302.5,10.34,18.39
SCN_0148,0.698,adverse,-7.79,7.63,-0.99,331.8,10.51,24.5
SCN_0149,0.508,adverse,-6.48,4.33,1.99,238.5,7.83,13.8
SCN_0150,0.869,severe,-10.29,8.77,-0.25,478.2,13.73,32.84
SCN_0151,0.188,mild,-3.03,2.67,-0.16,73.2,2.72,6.13
SCN_0152,0.2,mild,-2.58,2.61,1.61,72.0,5.35,9.45
SCN_0153,0.04,baseline,-1.42,0.02,-0.64,43.1,0.0,0.96
SCN_0154,0.472,moderate,-7.09,5.23,0.38,242.5,7.69,21.93
SCN_0155,0.898,severe,-12.2,8.59,1.0,445.2,14.67,35.38
SCN_0156,0.175,mild,-2.22,0.82,,95.6,0.0,9.27
SCN_0157,0.08,mild,-0.89,-0.73,-0.12,77.9,0.0,0.0
SCN_0158,0.58,adverse,-6.96,6.36,-0.63,299.4,9.61,23.8
SCN_0159,0.37,moderate,-3.85,2.91,-0.36,207.6,8.55,10.8
SCN_0160,0.724,,-8.13,8.52,3.78,351.7,10.09,22.88
SCN_0161,0.854,severe,-11.9,8.32,1.27,417.0,17.64,29.94
SCN_0162,0.989,severe,-11.71,10.3,-1.57,521.9,14.98,37.1
SCN_0163,0.685,adverse,-8.4,7.05,0.73,337.2,11.33,30.27
SCN_0164,0.305,moderate,-3.66,1.86,-0.41,108.4,8.26,11.54
SCN_0165,0.694,adverse,-8.87,6.16,-0.62,346.3,9.18,24.71
SCN_0166,0.987,severe,-11.35,10.4,-1.41,523.2,14.33,24.28
SCN_0167,0.011,baseline,0.36,-0.38,0.02,0.0,3.92,4.13
SCN_0168,0.596,adverse,-6.78,5.95,3.69,274.5,3.48,21.63
SCN_0169,0.297,moderate,-2.84,3.76,1.76,128.7,3.58,12.81
SCN_0170,0.487,moderate,-4.96,5.43,1.42,225.9,9.28,11.55
SCN_0171,0.198,mild,-2.44,2.78,2.28,50.2,4.23,3.43
SCN_0172,0.632,adverse,-7.63,6.18,2.78,285.2,8.18,25.53
SCN_0173,0.957,severe,-12.45,9.9,1.45,477.6,9.45,37.02
SCN_0174,0.202,mild,-2.24,1.58,,92.4,2.58,3.86
SCN_0175,0.585,adverse,-7.29,6.34,2.22,278.6,6.61,12.24
SCN_0176,0.273,moderate,-3.49,1.55,1.69,118.6,8.04,1.05
SCN_0177,0.734,adverse,-8.14,8.02,2.22,354.4,12.55,14.06
SCN_0178,0.723,adverse,-8.85,8.01,-1.29,363.7,13.68,35.85
SCN_0179,0.944,severe,-11.34,10.35,-1.11,492.6,11.62,33.56
SCN_0180,0.773,severe,-9.84,7.23,1.02,406.2,11.26,27.39
SCN_0181,0.522,adverse,-6.85,5.59,3.03,313.1,6.89,15.98
SCN_0182,0.95,severe,-10.91,9.24,-1.52,486.1,12.19,31.21
SCN_0183,0.642,adverse,-7.11,6.12,-0.78,282.8,6.49,15.92
SCN_0184,0.146,mild,-2.46,1.11,-0.11,64.1,5.49,8.41
SCN_0185,0.626,adverse,-7.79,6.04,3.92,324.8,7.12,22.1
SCN_0186,0.62,adverse,-7.31,6.58,-1.37,346.4,7.1,22.79
SCN_0187,0.377,moderate,-4.59,3.72,1.16,205.6,9.1,13.19
SCN_0188,0.97,severe,-12.06,10.08,0.34,506.8,20.08,33.34
SCN_0189,0.95,severe,-11.73,10.12,-1.74,480.0,16.77,35.67
SCN_0190,0.618,adverse,-6.86,6.94,1.56,326.9,8.5,18.61
SCN_0191,0.1,mild,-1.07,1.4,-0.69,38.2,1.53,10.68
SCN_0192,0.545,adverse,-7.57,5.34,3.32,268.3,3.68,28.55
SCN_0193,0.195,mild,-2.38,1.76,0.29,86.5,5.79,9.52
SCN_0194,0.768,severe,-9.12,7.59,-0.84,366.4,9.35,18.76
SCN_0195,0.407,moderate,-4.5,4.31,0.75,197.0,8.07,14.01
SCN_0196,0.032,baseline,-0.57,1.33,-0.04,25.8,0.0,0.56
SCN_0197,0.819,severe,-11.08,8.39,0.15,367.6,14.39,35.85
SCN_0198,0.823,severe,-9.66,8.25,4.97,445.2,15.18,24.1
SCN_0199,0.422,moderate,-4.81,3.32,0.18,256.7,7.94,22.15
SCN_0200,0.888,severe,-10.7,9.07,1.32,424.6,16.48,37.93
SCN_0201,0.198,mild,-1.8,1.94,1.14,108.4,5.46,7.36
SCN_0202,0.729,adverse,-8.57,7.61,3.87,407.9,12.12,29.09
SCN_0203,0.745,adverse,-9.43,8.06,0.95,334.0,13.76,23.34
SCN_0204,0.841,severe,-10.14,8.51,-0.03,402.4,10.13,28.44
SCN_0205,0.07,mild,-1.64,-0.13,1.02,23.0,0.07,0.0
SCN_0206,0.582,adverse,-6.99,6.29,3.21,324.1,7.02,16.95
SCN_0207,0.854,severe,-10.12,8.26,0.25,453.9,16.47,25.79
SCN_0208,0.255,moderate,-3.01,2.06,0.5,127.7,6.68,14.97
SCN_0209,0.032,baseline,-0.51,0.65,1.13,27.8,0.26,0.0
SCN_0210,0.71,adverse,-7.65,7.02,-0.13,344.5,11.37,36.8
SCN_0211,0.247,mild,-4.11,3.12,-0.09,123.2,2.24,9.99
SCN_0212,0.556,adverse,-6.79,5.79,0.58,264.2,7.48,12.33
SCN_0213,0.785,severe,-9.35,7.65,,392.0,10.13,30.92
SCN_0214,0.334,moderate,-4.29,3.58,-0.29,174.4,8.93,14.24
SCN_0215,0.093,mild,-0.84,1.55,1.5,66.5,0.0,0.0
SCN_0216,0.187,mild,-3.29,1.75,-0.09,55.1,0.0,1.37
SCN_0217,0.882,severe,-10.8,9.52,3.29,450.9,13.6,32.84
SCN_0218,0.919,severe,-10.51,8.64,-1.34,483.3,14.31,31.29
SCN_0219,0.841,severe,-11.81,8.56,,419.5,14.38,29.07
SCN_0220,0.355,moderate,-4.34,3.58,0.04,180.6,7.92,6.99
SCN_0221,0.638,adverse,-6.88,5.51,2.64,307.2,8.64,17.8
SCN_0222,0.385,moderate,-3.52,3.22,2.23,166.7,10.1,11.18
SCN_0223,0.627,adverse,-7.76,5.8,3.08,362.5,12.88,17.67
SCN_0224,0.596,adverse,-7.65,5.07,0.45,321.1,11.55,18.51
SCN_0225,0.045,baseline,-0.09,0.65,-0.59,0.0,0.96,6.97
SCN_0226,0.435,moderate,-4.83,4.51,2.07,234.7,4.78,7.13
SCN_0227,0.739,adverse,-8.34,7.12,3.68,333.1,15.47,30.0
SCN_0228,0.463,moderate,-4.97,4.92,1.96,228.1,5.87,29.37
SCN_0229,0.046,baseline,-0.83,0.69,0.5,52.9,0.0,4.1
SCN_0230,0.233,mild,-2.56,2.37,0.47,115.1,2.05,5.89
SCN_0231,0.321,moderate,-3.92,2.82,1.72,182.4,6.5,14.03
SCN_0232,0.525,adverse,-5.96,4.93,,282.0,10.06,13.48
SCN_0233,0.931,severe,-11.1,10.17,1.58,470.9,10.52,29.4
SCN_0234,0.275,moderate,-3.55,2.48,-0.98,126.6,0.46,13.51
SCN_0235,0.329,moderate,-3.44,2.52,-0.96,178.1,2.36,11.56
SCN_0236,0.147,mild,-0.65,2.43,1.16,123.2,0.0,10.03
SCN_0237,0.204,mild,-3.05,2.29,0.47,113.1,3.64,13.12
SCN_0238,0.379,moderate,-4.65,4.34,-0.87,204.2,4.03,8.04
SCN_0239,0.149,mild,-2.16,1.88,0.67,71.5,5.82,12.06
SCN_0240,0.034,baseline,-0.91,1.13,-0.63,19.8,0.0,0.0
SCN_0241,0.59,adverse,-6.7,5.51,0.66,273.2,5.7,23.19
SCN_0242,0.563,adverse,-6.72,5.92,1.23,268.0,5.76,10.23
SCN_0243,0.011,baseline,-1.48,-0.55,1.39,0.0,1.16,1.92
SCN_0244,0.324,moderate,-3.44,3.81,2.64,168.3,6.14,12.06
SCN_0245,0.913,severe,-11.16,8.73,-0.7,454.8,12.04,28.66
SCN_0246,0.101,mild,-0.62,1.05,0.87,66.6,0.11,0.0
SCN_0247,0.183,mild,-2.52,1.63,-0.42,114.5,2.8,0.42
SCN_0248,0.654,adverse,-8.14,7.48,3.79,282.3,10.7,32.61
SCN_0249,0.606,adverse,-6.18,5.55,-1.1,288.7,9.65,14.85
SCN_0250,0.791,severe,-9.9,8.36,2.04,401.0,8.49,26.12
SCN_0251,0.21,mild,-2.0,2.69,2.07,89.9,0.0,0.0
SCN_0252,0.084,mild,-1.25,0.47,-0.4,67.5,1.33,1.49
SCN_0253,0.889,severe,-10.54,9.69,,459.2,16.26,25.28
SCN_0254,0.326,moderate,-4.09,2.0,0.95,142.7,6.22,11.98
SCN_0255,0.267,moderate,-2.03,2.03,0.5,139.6,2.16,9.48
SCN_0256,0.23,mild,-1.92,1.96,1.36,114.4,6.02,7.79
SCN_0257,0.38,,-4.91,3.86,0.89,174.2,5.38,10.24
SCN_0258,0.249,mild,-3.04,3.26,1.51,129.5,0.43,6.47
SCN_0259,0.152,mild,-0.87,1.63,1.13,88.6,6.34,5.01
SCN_0260,0.374,moderate,-4.78,3.36,-0.31,233.6,7.66,11.42
SCN_0261,0.964,severe,-11.16,10.62,4.83,476.7,13.3,23.87
SCN_0262,0.609,adverse,-7.47,6.46,-0.79,297.3,8.08,21.9
SCN_0263,0.316,moderate,-4.14,2.85,1.24,165.7,0.0,4.94
SCN_0264,0.465,moderate,-5.34,4.27,0.7,233.0,8.82,9.5
SCN_0265,0.959,severe,-11.35,9.54,3.31,455.1,15.28,39.04
SCN_0266,0.938,severe,-11.17,9.33,3.53,467.4,17.21,32.22
SCN_0267,0.159,mild,-2.21,1.7,0.08,89.5,3.7,10.03
SCN_0268,0.454,moderate,-4.85,4.07,1.44,225.6,5.68,10.2
SCN_0269,0.427,moderate,-5.41,3.93,-0.99,237.0,6.9,27.3
SCN_0270,0.057,mild,-0.86,0.57,0.14,37.1,6.04,0.0
SCN_0271,0.827,severe,-9.8,7.48,3.25,438.9,10.26,28.9
SCN_0272,0.599,adverse,-7.94,6.51,-0.37,277.1,9.55,18.34
SCN_0273,0.916,severe,-10.55,8.58,5.38,461.1,16.16,38.25
SCN_0274,0.691,adverse,-7.73,6.51,-1.09,322.6,13.68,20.89
SCN_0275,0.711,adverse,-8.17,6.6,-1.34,371.0,13.29,24.52
SCN_0276,0.507,adverse,-5.63,5.14,1.27,237.4,8.2,23.83
SCN_0277,0.727,adverse,-8.26,7.41,0.25,350.2,10.52,21.32
SCN_0278,0.7,adverse,-8.2,7.09,1.93,360.9,11.11,27.28
SCN_0279,0.762,severe,-8.89,7.25,2.66,394.1,9.75,26.91
SCN_0280,0.063,,-1.07,0.06,0.28,52.6,2.28,12.05
SCN_0281,0.146,mild,0.06,1.35,0.1,65.3,3.13,9.3
SCN_0282,0.76,severe,-8.05,7.72,3.71,361.8,12.45,25.93
SCN_0283,0.484,moderate,-6.27,6.17,1.37,212.6,5.51,16.67
SCN_0284,0.954,severe,-11.12,9.88,,483.9,12.12,30.3
SCN_0285,0.3,,-4.31,3.53,0.39,169.5,4.6,14.38
SCN_0286,0.971,severe,-11.14,9.8,1.87,493.3,12.1,26.51
SCN_0287,0.309,moderate,-3.37,3.43,-0.7,134.8,2.82,9.02
SCN_0288,0.339,moderate,-4.92,2.98,2.21,145.7,4.79,17.15
SCN_0289,0.595,adverse,-7.26,6.46,,285.9,11.83,19.29
SCN_0290,0.324,moderate,-3.63,3.07,-0.91,168.3,7.41,8.59
SCN_0291,0.639,adverse,-7.7,6.74,-0.96,339.7,10.75,15.77
SCN_0292,0.579,adverse,-5.61,6.29,4.04,291.2,4.53,11.05
SCN_0293,0.026,baseline,-0.67,-0.19,0.02,25.6,0.0,0.0
SCN_0294,0.6,adverse,-7.84,6.43,3.96,310.7,11.74,24.69
SCN_0295,0.064,mild,-1.46,1.2,-0.45,37.2,1.61,4.66
SCN_0296,0.708,adverse,-9.0,6.4,3.8,357.6,13.49,24.55
SCN_0297,0.223,mild,-2.1,2.05,-0.82,98.6,7.46,3.42
SCN_0298,0.525,adverse,-6.23,4.7,1.45,294.6,6.64,20.34
SCN_0299,0.104,mild,-1.27,0.88,1.63,73.4,0.74,2.74
SCN_0300,0.033,baseline,-1.54,-0.24,0.2,0.0,0.0,0.0
SCN_0301,0.481,moderate,-5.31,4.53,0.35,225.5,9.73,10.03
SCN_0302,0.315,moderate,-4.02,2.63,1.65,162.9,3.48,13.78
SCN_0303,0.036,baseline,-0.06,0.58,0.67,9.3,0.92,4.02
SCN_0304,0.455,moderate,-4.9,5.04,3.05,237.8,8.04,19.44
SCN_0305,0.685,,-8.49,6.6,1.18,339.1,10.62,29.42
SCN_0306,0.974,severe,-11.79,9.41,5.32,502.5,10.6,32.53
SCN_0307,0.648,adverse,-7.31,6.93,1.65,335.7,9.88,19.31
SCN_0308,0.516,adverse,-6.18,5.14,-0.79,250.0,7.88,16.65
SCN_0309,0.054,mild,-0.36,0.0,1.0,20.2,2.73,10.34
SCN_0310,0.861,severe,-11.21,8.49,1.1,433.9,14.26,25.54
SCN_0311,0.878,severe,-10.29,9.2,2.29,432.3,6.42,27.64
SCN_0312,0.562,adverse,-7.36,5.7,-1.35,235.8,8.97,15.03
SCN_0313,0.04,baseline,-1.25,0.42,0.23,26.3,0.92,0.14
SCN_0314,0.822,severe,-10.75,7.92,-1.74,398.7,13.89,27.36
SCN_0315,0.938,severe,-11.42,9.49,4.15,506.4,12.39,32.45
SCN_0316,0.288,moderate,-3.47,2.63,1.48,133.9,1.64,1.45
SCN_0317,0.439,moderate,-5.9,4.68,0.78,201.5,5.94,6.08
SCN_0318,0.909,severe,-10.67,9.5,1.44,475.6,9.85,25.58
SCN_0319,0.7,,-7.4,7.25,1.57,319.1,10.4,13.52
SCN_0320,0.61,adverse,-7.24,5.92,2.72,306.3,9.44,26.07
SCN_0321,0.414,moderate,-4.23,4.14,1.86,228.3,3.76,28.56
SCN_0322,0.81,severe,-9.49,8.36,4.92,420.8,8.14,35.37
SCN_0323,0.919,severe,-10.96,8.55,-0.59,446.4,14.03,30.74
SCN_0324,0.868,severe,-9.23,8.71,1.86,426.7,15.79,28.74
SCN_0325,0.838,severe,-9.46,8.11,-1.66,387.2,14.32,39.02
SCN_0326,0.795,severe,-8.67,7.53,-0.65,378.8,11.36,31.7
SCN_0327,0.886,severe,-11.48,8.2,1.63,452.8,18.45,37.82
SCN_0328,0.852,severe,-9.37,8.99,0.67,419.9,15.52,32.57
SCN_0329,0.498,moderate,-5.61,3.91,1.37,271.9,7.52,14.95
SCN_0330,0.184,mild,-1.63,2.5,2.1,113.9,4.6,7.78
SCN_0331,0.762,severe,-9.29,7.01,1.3,375.3,12.03,33.87
SCN_0332,0.257,moderate,-2.48,3.11,1.98,140.2,3.24,15.59
SCN_0333,0.915,severe,-11.7,9.23,1.76,453.9,14.85,34.76
SCN_0334,0.328,moderate,-3.63,2.58,-0.87,185.6,5.81,9.96
SCN_0335,0.287,moderate,-3.48,2.87,-0.12,128.9,4.4,8.48
SCN_0336,0.246,mild,-3.51,3.25,1.53,96.8,0.0,8.07
SCN_0337,0.603,adverse,-7.34,6.68,-0.52,310.7,5.7,25.78
SCN_0338,0.278,moderate,-2.81,2.37,1.65,145.8,3.78,11.74
SCN_0339,0.643,adverse,-8.1,7.23,4.29,306.1,11.06,18.78
SCN_0340,0.062,mild,-0.12,-0.23,,25.9,0.4,4.21
SCN_0341,0.816,,-10.29,8.52,3.53,382.8,11.81,35.46
SCN_0342,0.859,severe,-9.88,8.0,0.43,446.6,14.7,34.0
SCN_0343,0.159,mild,-1.95,1.28,-0.12,86.1,2.84,8.34
SCN_0344,0.24,mild,-2.5,3.43,-0.45,119.0,4.38,18.58
SCN_0345,0.611,adverse,-7.21,5.71,3.15,304.4,12.53,30.38
SCN_0346,0.278,moderate,-3.56,4.03,-0.31,127.7,0.0,16.72
SCN_0347,0.095,mild,0.32,0.25,1.07,48.7,3.43,0.0
SCN_0348,0.092,mild,-0.64,0.9,0.51,30.8,0.0,0.91
