loan_id,sector,pd_annual,lgd,ead,rwa,loan_amount
LN_000133,Technology,0.00912,0.4094,1898125.0,1205293.0,1898125.0
LN_000134,Technology,0.00947,0.6111,1135756.0,831627.0,1135756.0
LN_000135,Technology,0.00552,0.6582,"1,776,546",1236052.0,1776546.0
LN_000136,Technology,0.00735,0.4754,1085858.0,625150.0,1085858.0
LN_000137,Technology,0.02515,0.5248,14836717.0,11015353.0,14836717.0
LN_000138,Technology,0.00786,0.3581,7554987.0,5037301.0,7554987.0
LN_000139,Technology,0.00649,0.4146,3136474.0,2242996.0,3136474.0
LN_000140,Technology,0.01302,0.3919,1895587.0,1281775.0,1895587.0
LN_000141,Technology,0.02223,0.4998,17884087.0,14621185.0,17884087.0
LN_000142,Technology,0.00532,0.3867,2762401.0,1571100.0,2762401.0
LN_000143,Techno logy,0.00991,0.3503,1833637.0,1097013.0,1833637.0
LN_000144,Technology,0.00802,0.6106,2708171.0,2025936.0,2708171.0
LN_000145,Technology,0.00456,0.55,2715810.0,1699591.0,2715810.0
ln_000146,Technology,0.01588,0.5491,8194514.0,5718232.0,8194514.0
LN_000147,Technology,0.01087,0.4066,1962428.0,1263234.0,1962428.0
LN_000148,Technology,0.0114,0.624,"16,321,316",12169014.0,16321316.0
LN_000149,Technology,0.00755,0.8392,827891.0,665360.0,827891.0
LN_000150,Technology,0.01381,0.4931,4003614.0,2896124.0,4003614.0
LN_000151,Tech,0.0084,0.5543,734416.0,508308.0,734416.0
LN_000152,Technology,0.01024,0.3381,12307984.0,7981230.0,12307984.0
LN_000153,Technology,0.00632,0.4376,1437035.0,902984.0,1437035.0
LN_000154,Technology,0.00599,0.4015,1886943.0,1116632.0,1886943.0
LN_000155,Technology,0.02145,0.4986,5039889.0,3826717.0,5039889.0
LN_000156,Technology,0.00854,0.4442,7018067.0,4469929.0,7018067.0
LN_000157,Technology,0.01273,0.4804,657882.0,432329.0,657882.0
LN_000158,Technology,0.01082,0.4425,1414800.0,902850.0,1414800.0
LN_000159,Technology,0.00882,0.3708,495704.0,319414.0,495704.0
LN_000160,Technology,0.00853,0.5202,2294356.0,1651130.0,2294356.0
LN_000161,Technology,0.01507,0.3847,1807193.0,1294525.0,1807193.0
LN_000162,technology,0.95%,0.7103,1410879.0,1005613.0,1410879.0
LN_000163,Technology,999,0.3113,1008724.0,567645.0,1008724.0
LN_000164,Technology,0.01112,0.6406,1359668.0,1017465.0,1359668.0
LN_000165,Technology,0.01981,0.4879,948145.0,707092.0,948145.0
LN_000166,Technology,0.01546,0.5398,3394339.0,2433831.0,3394339.0
LN_000167,Technology,0.01332,0.4092,9107491.0,5731437.0,9107491.0
LN_000168,Technology,0.0083,0.6272,290086.0,227401.0,290086.0
LN_000169,Technology,0.00551,0.4783,1781008.0,1166652.0,1781008.0
LN_000170,Technology,0.01768,0.21,1316498.0,675736.0,1316498.0
LN_000171,Technology,0.01783,0.5723,3272374.0,2743950.0,3272374.0
LN_000172,Technlogy,0.01025,0.8003,772116.0,696078.0,772116.0
LN_000173,Technology,0.01442,0.5477,1727562.0,1225020.0,1727562.0
LN_000174,Technology,0.01626,0.6252,707198.0,589078.0,707198.0
LN_000175,Technology,0.01667,0.5962,4014228.0,2975084.0,4014228.0
ln_000176,Technology,0.01744,0.274,2208739.0,1461354.0,2208739.0
LN_000177,Techno logy,0.00876,0.2733,1701776.0,922298.0,1701776.0
LN_000178,Technology,0.02346,0.5822,2896013.0,2232402.0,2896013.0
LN_000179,Technology,0.0059,0.2466,1563089.0,785260.0,1563089.0
LN_000180,Technology,0.01692,0.5399,422877.0,300336.0,422877.0
LN_000181,Technology,0.01408,0.3204,3628711.0,2250960.0,3628711.0
LN_000182,Technology,0.01703,0.5923,2668235.0,2099014.0,2668235.0
LN_000183,Technology,0.02815,0.6965,1714408.0,1549361.0,1714408.0
LN_000184,Technology,0.02311,0.8097,5355222.0,4852648.0,5355222.0
LN_000185,Technology,0.0062,0.5005,6764191.0,3243020.0,6764191.0
LN_000186,Technology,0.00473,0.6199,670900.0,485687.0,670900.0
LN_000187,Technology,0.01655,0.514,915826.0,583548.0,915826.0
LN_000188,Technology,0.00662,0.501,9397393.0,6366563.0,9397393.0
LN_000189,Technology,--,0.4117,8264746.0,5773381.0,8264746.0
LN_000190,Technology,0.01674,0.7002,955762.0,811689.0,955762.0
LN_000191,Technology,0.00484,0.5048,614121.0,391291.0,614121.0
LN_000192,Technology,0.00383,0.4941,1057153.0,672049.0,1057153.0
LN_000193,Technology,1.25%,0.4311,1215348.0,796784.0,1215348.0
LN_000194,Technology,0.01125,0.3847,410279.0,246832.0,410279.0
LN_000195,Technology,0.00973,0.2482,2063316.0,1064047.0,2063316.0
LN_000196,Technology,0.01121,0.4525,555975.0,344680.0,555975.0
LN_000197,Technology,0.00715,0.4864,596162.0,429141.0,596162.0
LN_000198,Technology,0.00516,0.6037,4999079.0,3560384.0,4999079.0
LN_000199,Technology,0.01012,0.3822,1010008.0,675448.0,1010008.0
LN_000200,Technology,0.00677,0.5125,1862046.0,1228947.0,1862046.0
LN_000201,Technology,0.00484,0.5449,3751829.0,2559880.0,3751829.0
LN_000202,Technology,0.01416,0.5773,4510334.0,3355522.0,4510334.0
LN_000203,Technology,0.01067,0.6388,1427789.0,1125789.0,1427789.0
LN_000204,Technology,0.01348,0.6109,2090210.0,1689283.0,2090210.0
LN_000205,Technology,0.00671,0.7136,876114.0,696278.0,876114.0
LN_000206,Technology,-999,0.3831,11479087.0,6594742.0,11479087.0
LN_000207,Technology,0.67%,0.4975,3830889.0,2392994.0,3830889.0
LN_000208,Technology,0.00706,0.6236,663589.0,543023.0,663589.0
LN_000209,Technology,0.01213,0.56,2008132.0,1439404.0,2008132.0
LN_000210,Technology,0.00744,0.5235,4082456.0,2727073.0,4082456.0
LN_000211,Technology,0.01314,0.3205,3230246.0,2191407.0,3230246.0
LN_000212,Technology,0.01304,0.5835,12457431.0,10009831.0,12457431.0
LN_000213,Technology,0.03028,0.3178,7888976.0,5783840.0,7888976.0
LN_000214,Technology,0.00548,0.4948,1166305.0,740683.0,1166305.0
LN_000215,Technology,0.01715,0.7724,1829361.0,1820836.0,1829361.0
LN_000216,Technology,0.01052,0.687,555218.0,450052.0,555218.0
LN_000217,Technology,0.01092,0.4152,2566646.0,1722919.0,2566646.0
LN_000218,Technology,0.00533,0.5486,2326042.0,1570403.0,2326042.0
LN_000219,Technology,0.00874,,29863292.0,18569424.0,29863292.0
LN_000220,Technology,0.01595,0.3301,2204988.0,1235913.0,2204988.0
LN_000221,Technology,0.01056,0.4194,246571.0,163805.0,246571.0
LN_000222,Technology,0.01145,0.2559,1021284.0,591409.0,1021284.0
LN_000223,Technology,0.00951,0.5728,2237807.0,1589087.0,2237807.0
LN_000224,Technology,0.01959,0.7889,569573.0,480085.0,569573.0
LN_000225,Technology,0.01088,0.4647,840246.0,503160.0,840246.0
LN_000226,Technology,0.00366,NA,1387511.0,742761.0,1387511.0
LN_000227,Technology,0.00778,0.2965,2814990.0,1370806.0,2814990.0
LN_000228,Technology,0.00411,0.6423,1695208.0,1310148.0,1695208.0
LN_000229,Technology,0.00216,0.5545,821942.0,596396.0,821942.0
LN_000230,Technology,0.00844,0.3848,4396586.0,3313702.0,4396586.0
LN_000231,Technology,0.02143,0.3996,1165919.0,865442.0,1165919.0
ln_000232,Technology,0.01126,0.4937,1213900.0,800522.0,1213900.0
LN_000233,Techno logy,0.00612,0.3508,503332.0,269832.0,503332.0
LN_000234,Technology,0.00687,0.6176,911313.0,508831.0,911313.0
LN_000235,Technology,0.01936,0.5216,3837875.0,2775925.0,3837875.0
LN_000236,Technology,0.0119,0.3991,396727.0,250752.0,396727.0
LN_000237,Technology,0.01127,0.5063,1862600.0,1386638.0,1862600.0
LN_000238,Technology,0.01071,0.5453,4099529.0,3053105.0,4099529.0
LN_000239,Technology,0.01121,0.1916,1371683.0,757266.0,1371683.0
LN_000240,Technology,0.01645,0.6856,2541966.0,2126305.0,2541966.0
LN_000241,Technology,0.0145,0.6836,654655.0,553866.0,654655.0
LN_000242,Technology,0.01225,0.5157,7414408.0,5779730.0,7414408.0
LN_000243,Technology,0.00653,0.4267,6014646.0,3432178.0,6014646.0
LN_000244,Technology,0.0142,0.3919,2531080.0,1589195.0,2531080.0
LN_000245,Technology,0.00781,0.6804,345787.0,242629.0,345787.0
LN_000246,Technology,0.01901,0.5674,702707.0,602241.0,702707.0
LN_000247,Technology,0.00583,0.2795,5311372.0,3205672.0,5311372.0
LN_000248,Technology,0.01027,0.256,11092490.0,6544930.0,11092490.0
LN_000249,Technology,0.01096,0.5013,2690596.0,1699168.0,2690596.0
LN_000250,Technology,0.00567,0.3236,6961995.0,3973093.0,6961995.0
LN_000251,Technology,0.02602,0.3366,1089137.0,740070.0,1089137.0
LN_000252,Technology,2.28%,0.7526,1654932.0,1497615.0,1654932.0
LN_000253,Technology,0.00872,0.7751,2002297.0,1640390.0,2002297.0
LN_000254,Technology,0.01618,0.8021,3053364.0,2791506.0,3053364.0
LN_000255,Technology,0.01329,0.2702,433587.0,242215.0,433587.0
LN_000256,Technology,0.00298,0.4526,5123378.0,3379047.0,5123378.0
LN_000257,Technology,0.01247,0.1692,7505933.0,3977816.0,7505933.0
LN_000258,Technology,0.01067,0.2665,634075.0,346142.0,634075.0
LN_000259,Technology,0.01147,0.5166,515719.0,359638.0,515719.0
LN_000260,Technology,0.00642,0.4089,2839725.0,1679437.0,2839725.0
LN_000261,Technology,0.00961,0.3666,1039599.0,675724.0,1039599.0
LN_000262,technology,-999,0.6489,186806.0,140793.0,186806.0
LN_000263,Technology,0.01992,0.5101,4489452.0,3433819.0,4489452.0
LN_000264,Technology,0.013,0.6281,2336704.0,1761556.0,2336704.0
LN_000265,Technology,0.01097,0.253,1241723.0,596903.0,1241723.0
LN_000266,Technology,0.02363,0.4785,16553399.0,13246725.0,16553399.0
LN_000267,Technology,0.00833,0.5508,2298028.0,1493768.0,2298028.0
LN_000268,Technology,0.91%,0.6396,941498.0,743821.0,941498.0
LN_000269,TECHNOLOGY,0.00443,0.4417,2212889.0,1417441.0,2212889.0
LN_000270,Technology,0.02411,0.6335,706860.0,537401.0,706860.0
LN_000271,Technology,0.01782,0.4901,933738.0,634197.0,933738.0
LN_000272,Technology,0.0174,0.497,2943237.0,2066259.0,2943237.0
LN_000273,Technology,0.01537,0.6292,1149065.0,858620.0,1149065.0
LN_000274,Technology,0.01162,0.585,1274015.0,869398.0,1274015.0
LN_000275,Technology,0.01225,0.5147,10613131.0,7891889.0,10613131.0
LN_000276,Technology,0.0097,0.6503,4724662.0,3561886.0,4724662.0
LN_000277,Technology,0.00994,0.5737,4463678.0,3322806.0,4463678.0
LN_000278,Technology,0.0113,0.4378,3393846.0,2162101.0,3393846.0
LN_000279,Tech,0.02343,0.635,3245757.0,2775412.0,3245757.0
LN_000280,Technology,0.01452,0.4287,8582559.0,5452968.0,8582559.0
LN_000281,Technology,0.01068,0.6006,1961288.0,1457414.0,1961288.0
LN_000282,Technology,0.00823,0.4412,12789970.0,8583712.0,12789970.0
LN_000283,Technology,0.00801,0.5942,772399.0,561615.0,772399.0
LN_000284,Technology,None,0.4878,1549775.0,1150724.0,1549775.0
LN_000285,Technology,0.01417,0.5699,503864.0,349742.0,503864.0
LN_000286,Technology,0.01138,0.2308,1418180.0,785102.0,1418180.0
LN_000287,Technology,0.00925,0.6459,3358820.0,2613165.0,3358820.0
LN_000288,Technology,0.00632,0.4699,8536867.0,5407512.0,8536867.0
LN_000289,Technology,0.01064,0.6778,1030269.0,770790.0,1030269.0
LN_000290,Technology,0.01703,0.6498,2010637.0,1682232.0,2010637.0
LN_000291,Technology,0.00904,0.7416,1396455.0,1307350.0,1396455.0
LN_000292,Technology,0.00982,0.6566,955565.0,721384.0,955565.0
LN_000293,Technology,0.00985,0.6249,608820.0,468557.0,608820.0
LN_000294,Technology,0.01162,0.6811,2125078.0,1728042.0,2125078.0
LN_000295,Technology,0.00496,0.5551,353837.0,196990.0,353837.0
LN_000296,Technology,0.00978,0.3658,2233769.0,1376103.0,2233769.0
LN_000297,Technology,0.72%,0.5488,2042346.0,1347037.0,2042346.0
LN_000298,Technology,0.01712,0.2514,1036031.0,683985.0,1036031.0
LN_000299,Technology,0.00748,0.7328,727780.0,571470.0,727780.0
LN_000300,Technology,0.01468,0.6198,500995.0,370771.0,500995.0
LN_000301,Technology,0.02357,0.3132,12993843.0,8482245.0,12993843.0
LN_000302,Technology,0.0094,0.7138,522660.0,421965.0,522660.0
LN_000303,Technology,0.00814,0.6384,9495799.0,6855953.0,9495799.0
LN_000304,Technology,0.0121,0.2398,3644838.0,2011581.0,3644838.0
LN_000305,Technology,0.01099,0.4724,1389753.0,845034.0,1389753.0
LN_000306,Technology,0.00669,0.7229,628808.0,488266.0,628808.0
LN_000307,Technology,0.01385,0.5349,5672561.0,4345666.0,5672561.0
LN_000308,Technology,-999,0.2945,11277374.0,8923221.0,11277374.0
LN_000309,Technology,0.00967,0.3114,785938.0,483047.0,785938.0
LN_000310,Technology,0.00994,0.5104,"1,483,497",1044311.0,1483497.0
LN_000311,Technology,0.00652,0.6782,5724590.0,4701866.0,5724590.0
LN_000312,Technology,0.0129,0.4342,2798072.0,2006781.0,2798072.0
LN_000313,Technology,0.0059,0.3375,14777535.0,9667169.0,14777535.0
LN_000314,Technology,0.00632,0.3727,1130888.0,731763.0,1130888.0
LN_000315,Technology,0.02086,0.5949,3439886.0,2739688.0,3439886.0
LN_000316,Technology,0.00699,0.7152,572478.0,456972.0,572478.0
LN_000317,Technology,0.01889,0.3716,16265380.0,11005897.0,16265380.0
LN_000318,Technology,0.02357,0.3062,963490.0,650330.0,963490.0
LN_000319,TECHNOLOGY,0.01252,0.6115,219848.0,169605.0,219848.0
LN_000320,Tech,0.01451,0.7368,1763646.0,1416474.0,1763646.0
LN_000321,Technology,0.0292,0.4628,1739707.0,1173518.0,1739707.0
LN_000322,Technology,0.00997,0.4936,13581637.0,8797095.0,13581637.0
LN_000323,Technology,0.00818,0.3434,1425222.0,693526.0,1425222.0
LN_000324,Technology,0.00559,0.2872,1974872.0,1076108.0,1974872.0
LN_000325,Technology,0.01123,0.4316,3620406.0,2371285.0,3620406.0
LN_000326,Technology,0.02305,0.3823,9770991.0,6007039.0,9770991.0
LN_000327,Technology,0.01777,0.4436,1877456.0,1379943.0,1877456.0
LN_000328,Technology,0.00687,0.3066,5655480.0,3411203.0,5655480.0
LN_000329,Technology,0.00717,0.7586,3357618.0,2736711.0,3357618.0
LN_000330,Technology,0.00855,n.a.,1487225.0,1139490.0,1487225.0
LN_000331,Technology,0.01273,0.4011,2161282.0,1600570.0,2161282.0
LN_000332,Technology,0.00993,0.6132,2058178.0,1413001.0,2058178.0
LN_000333,Technology,0.01225,0.442,800213.0,574867.0,800213.0
LN_000334,Technology,0.01276,0.3692,6731702.0,4386736.0,6731702.0
LN_000335,Technology,0.00947,0.696,500337.0,405554.0,500337.0
LN_000336,Technology,0.01078,0.4982,6451522.0,4744420.0,6451522.0
LN_000337,Technology,0.0122,0.6268,5194324.0,3802174.0,5194324.0
LN_000338,Technology,0.01055,0.6184,1822297.0,1318981.0,1822297.0
LN_000339,Technology,0.01415,0.5122,930254.0,628182.0,930254.0
LN_000340,Technology,0.02803,0.5394,1594758.0,1239342.0,1594758.0
LN_000341,Technology,0.01479,0.706,3208880.0,2638008.0,3208880.0
LN_000342,Technology,0.01131,0.6464,"4,204,711",2946696.0,4204711.0
LN_000343,Technology,0.00473,0.5782,2664632.0,1716326.0,2664632.0
LN_000344,Technology,0.01335,0.7561,5393980.0,4719044.0,5393980.0
LN_000345,Technology,0.00416,0.2474,1145353.0,581200.0,1145353.0
LN_000346,Technology,0.00544,0.2205,2528746.0,1322640.0,2528746.0
LN_000347,Technology,0.01686,0.6276,416779.0,292538.0,416779.0
LN_000348,Technology,0.01566,0.4091,4292090.0,2703002.0,4292090.0
LN_000349,Technology,0.01021,0.4288,2331061.0,1443633.0,2331061.0
LN_000350,Technology,0.00468,0.5114,1319922.0,872426.0,1319922.0
LN_000351,Technology,0.00914,0.3512,6389715.0,3633466.0,6389715.0
LN_000352,Technology,0.00783,0.4582,3993521.0,2778221.0,3993521.0
LN_000353,Healthcare,0.0068,0.2096,597674.0,269676.0,597674.0
LN_000354,Healthcare,0.00706,0.373,1244336.0,785009.0,1244336.0
LN_000355,Healthcare,0.70%,0.5118,5805728.0,3767291.0,5805728.0
LN_000356,Healthcare,0.00997,0.1206,1705548.0,847126.0,1705548.0
LN_000357,Healthcare,0.00553,0.1991,887830.0,386204.0,887830.0
LN_000358,Healthcare,0.01227,0.1909,532578.0,283150.0,532578.0
LN_000359,Healthcare,0.00881,0.1695,3418409.0,1401000.0,3418409.0
LN_000360,Healthcare,0.00756,0.1188,5545793.0,2412079.0,5545793.0
LN_000361,Healthcare,0.00715,0.477,8109537.0,5094296.0,8109537.0
LN_000362,Health Care,0.00908,0.2794,2110523.0,1235362.0,2110523.0
LN_000363,Healthcare,0.01163,0.53,5686728.0,4084701.0,5686728.0
LN_000364,Healthcare,0.01123,0.205,711917.0,369742.0,711917.0
LN_000365,Healthcare,0.00845,0.414,2365924.0,1580925.0,2365924.0
LN_000366,Healthcare,0.01085,0.2534,1015885.0,570881.0,1015885.0
LN_000367,Healthcare,0.00743,0.4598,2379728.0,1599824.0,2379728.0
LN_000368,Healthcare,0.01309,0.1335,4237023.0,2280228.0,4237023.0
LN_000369,Healthcare,0.00691,0.4615,5829163.0,3729656.0,5829163.0
LN_000370,Healthcare,0.00248,0.4719,743223.0,451606.0,743223.0
LN_000371,Healthcare,0.01367,0.4834,7103832.0,5058115.0,7103832.0
LN_000372,Healthcare,MISSING,0.2636,1244534.0,642568.0,1244534.0
LN_000373,Healthcare,0.0039,0.4296,717067.0,449478.0,717067.0
LN_000374,Healthcare,0.00634,0.2113,1686310.0,939911.0,1686310.0
LN_000375,Healthcare,0.0045,0.2609,463288.0,259889.0,463288.0
